YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION (min)
2012,8,Indiana,IN,RFC,Central,0.3,normal,"Thursday, August 16, 2012",1:13:00 PM,"Thursday, August 16, 2012",1:13:00 PM,intentional attack,vandalism,0
2011,7,Indiana,IN,RFC,Central,-0.3,normal,"Thursday, July 28, 2011",1:32:00 PM,"Thursday, July 28, 2011",1:32:00 PM,intentional attack,vandalism,0
2011,5,Indiana,IN,RFC,Central,-0.4,normal,"Wednesday, May 25, 2011",10:14:00 PM,"Saturday, May 28, 2011",11:00:00 AM,severe weather,NA,3646
2008,8,Indiana,IN,RFC,Central,-0.3,normal,"Tuesday, August 5, 2008",3:00:00 AM,"Tuesday, August 5, 2008",9:50:00 PM,severe weather,storm,1130
2013,11,Indiana,IN,RFC,Central,-0.3,normal,"Tuesday, November 5, 2013",10:10:00 AM,"Thursday, November 7, 2013",10:10:00 AM,intentional attack,NA,2880
2010,6,Indiana,IN,RFC,Central,-0.4,normal,"Wednesday, June 23, 2010",5:48:00 PM,"Thursday, June 24, 2010",2:21:00 AM,severe weather,thunderstorm,513
2008,12,Indiana,IN,RFC,Central,-0.7,cold,"Tuesday, December 30, 2008",4:02:00 PM,"Tuesday, December 30, 2008",4:37:00 PM,system operability disruption,NA,35
2009,1,Indiana,IN,RFC,Central,-0.7,cold,"Wednesday, January 28, 2009",7:50:00 AM,"Friday, February 13, 2009",8:03:00 PM,severe weather,winter storm,23773
2008,6,Indiana,IN,RFC,Central,-0.5,cold,"Sunday, June 22, 2008",4:55:00 PM,"Sunday, June 22, 2008",5:05:00 PM,severe weather,thunderstorm,10
2008,7,Indiana,IN,RFC,Central,-0.4,normal,"Tuesday, July 22, 2008",3:00:00 AM,"Thursday, July 24, 2008",7:32:00 PM,severe weather,thunderstorm,3872
2010,6,Indiana,IN,RFC,Central,-0.4,normal,"Tuesday, June 1, 2010",10:03:00 PM,"Friday, June 18, 2010",12:30:00 AM,system operability disruption,NA,23187
2009,1,Indiana,IN,RFC,Central,-0.7,cold,"Wednesday, January 28, 2009",6:00:00 AM,"Thursday, February 5, 2009",6:00:00 PM,severe weather,winter storm,12240
2014,6,Alabama,AL,SERC,Southeast,0,normal,"Saturday, June 7, 2014",11:00:00 PM,"Sunday, June 8, 2014",5:30:00 AM,severe weather,thunderstorm,390
2000,NA,Alabama,AL,SERC,Southeast,NA,NA,NA,NA,NA,NA,severe weather,thunderstorm,NA
2000,12,Alabama,AL,SERC,Southeast,-0.8,cold,"Saturday, December 16, 2000",11:36:00 AM,"Monday, December 18, 2000",6:00:00 PM,severe weather,tornadoes,3264
2000,8,Alabama,AL,SERC,Southeast,-0.5,cold,"Thursday, August 10, 2000",9:30:00 PM,"Friday, August 11, 2000",6:00:00 PM,severe weather,NA,1230
2015,7,Alabama,AL,SERC,Southeast,1.2,warm,"Tuesday, July 14, 2015",8:00:00 PM,"Wednesday, July 15, 2015",9:23:00 AM,severe weather,NA,803
2013,4,Alabama,AL,SERC,Southeast,-0.2,normal,"Wednesday, April 17, 2013",3:36:00 PM,"Wednesday, April 17, 2013",4:53:00 PM,intentional attack,NA,77
2014,6,Mississippi,MS,SERC,South,0,normal,"Wednesday, June 11, 2014",4:00:00 PM,"Wednesday, June 11, 2014",4:30:00 PM,intentional attack,vandalism,30
2011,5,Mississippi,MS,SERC,South,-0.4,normal,"Thursday, May 26, 2011",1:00:00 AM,"Thursday, May 26, 2011",6:00:00 AM,system operability disruption,transmission interruption,300
2014,5,Mississippi,MS,SERC,South,-0.1,normal,"Thursday, May 8, 2014",1:00:00 AM,"Thursday, May 8, 2014",1:01:00 AM,intentional attack,NA,1
2015,5,Mississippi,MS,SERC,South,0.8,warm,"Tuesday, May 12, 2015",12:40:00 AM,"Tuesday, May 12, 2015",12:45:00 AM,intentional attack,sabotage,5
2011,5,Illinois,IL,RFC,Central,-0.4,normal,"Tuesday, May 24, 2011",9:00:00 AM,"Wednesday, May 25, 2011",9:10:00 AM,intentional attack,vandalism,1450
2010,6,Illinois,IL,RFC,Central,-0.4,normal,"Wednesday, June 23, 2010",5:00:00 PM,"Friday, June 25, 2010",1:40:00 PM,severe weather,NA,2680
2000,5,Illinois,IL,SERC,Central,-0.7,cold,"Thursday, May 18, 2000",6:00:00 PM,NA,NA,severe weather,heavy wind,NA
2007,8,Illinois,IL,RFC,Central,-0.6,cold,"Thursday, August 23, 2007",4:00:00 PM,"Tuesday, August 28, 2007",10:49:00 PM,severe weather,storm,7609
2012,6,Illinois,IL,RFC,Central,-0.1,normal,"Friday, June 29, 2012",11:30:00 PM,"Saturday, June 30, 2012",2:00:00 AM,severe weather,thunderstorm,150
2010,10,Illinois,IL,RFC,Central,-1.5,cold,"Tuesday, October 26, 2010",9:00:00 AM,"Thursday, October 28, 2010",11:00:00 AM,severe weather,thunderstorm,3000
2012,7,Illinois,IL,RFC,Central,0.1,normal,"Wednesday, July 18, 2012",11:00:00 PM,"Thursday, July 19, 2012",6:00:00 AM,severe weather,thunderstorm,420
2013,11,Illinois,IL,RFC,Central,-0.3,normal,"Sunday, November 17, 2013",2:31:00 PM,"Sunday, November 17, 2013",10:30:00 PM,severe weather,thunderstorm,479
2006,10,Illinois,IL,RFC,Central,0.7,warm,"Monday, October 2, 2006",2:00:00 PM,"Tuesday, October 3, 2006",6:00:00 PM,severe weather,thunderstorm,1680
2010,6,Illinois,IL,RFC,Central,-0.4,normal,"Friday, June 18, 2010",4:00:00 PM,"Sunday, June 20, 2010",1:00:00 PM,severe weather,NA,2700
2005,6,Illinois,IL,RFC,Central,0.2,normal,"Friday, June 24, 2005",8:37:00 PM,"Friday, June 24, 2005",11:06:00 PM,equipment failure,transmission interruption,149
2011,6,Illinois,IL,RFC,Central,-0.3,normal,"Thursday, June 30, 2011",10:30:00 PM,"Friday, July 1, 2011",5:00:00 PM,severe weather,NA,1110
2014,6,Illinois,IL,RFC,Central,0,normal,"Monday, June 30, 2014",8:00:00 PM,"Wednesday, July 2, 2014",6:30:00 PM,severe weather,thunderstorm,2790
2009,6,Illinois,IL,SERC,Central,0.4,normal,"Friday, June 19, 2009",1:00:00 PM,"Friday, June 19, 2009",11:59:00 PM,severe weather,storm,659
2004,8,Illinois,IL,RFC,Central,0.6,warm,"Tuesday, August 3, 2004",9:00:00 PM,"Wednesday, August 4, 2004",7:00:00 PM,severe weather,storm,1320
2011,7,Illinois,IL,RFC,Central,-0.3,normal,"Saturday, July 23, 2011",2:30:00 AM,"Sunday, July 24, 2011",9:00:00 AM,severe weather,NA,1830
2012,7,Illinois,IL,RFC,Central,0.1,normal,"Sunday, July 1, 2012",1:00:00 PM,"Tuesday, July 3, 2012",3:00:00 PM,severe weather,thunderstorm,3000
2000,NA,Illinois,IL,SERC,Central,NA,NA,NA,NA,NA,NA,severe weather,wildfire,NA
2012,7,Illinois,IL,RFC,Central,0.1,normal,"Tuesday, July 24, 2012",7:30:00 AM,"Tuesday, July 24, 2012",10:00:00 PM,severe weather,thunderstorm,870
2008,5,Illinois,IL,RFC,Central,-0.7,cold,"Friday, May 30, 2008",9:30:00 AM,"Friday, May 30, 2008",11:00:00 PM,severe weather,storm,810
2013,6,Illinois,IL,RFC,Central,-0.2,normal,"Monday, June 24, 2013",7:30:00 PM,"Tuesday, June 25, 2013",5:46:00 PM,severe weather,thunderstorm,1336
2011,6,Illinois,IL,RFC,Central,-0.3,normal,"Tuesday, June 21, 2011",9:45:00 PM,"Thursday, June 23, 2011",2:00:00 AM,severe weather,thunderstorm,1695
2003,7,Illinois,IL,SERC,Central,0.1,normal,"Monday, July 7, 2003",9:00:00 AM,"Monday, July 7, 2003",3:00:00 PM,severe weather,thunderstorm,360
2013,8,Illinois,IL,RFC,Central,-0.3,normal,"Friday, August 30, 2013",7:30:00 PM,"Saturday, August 31, 2013",1:30:00 AM,severe weather,thunderstorm,360
2011,4,Illinois,IL,SERC,Central,-0.5,cold,"Tuesday, April 19, 2011",8:00:00 PM,"Tuesday, April 19, 2011",10:00:00 PM,severe weather,NA,120
2008,8,Illinois,IL,RFC,Central,-0.3,normal,"Monday, August 4, 2008",6:00:00 PM,"Wednesday, August 6, 2008",8:00:00 PM,severe weather,NA,3000
2011,8,Illinois,IL,RFC,Central,-0.6,cold,"Tuesday, August 2, 2011",9:30:00 PM,"Wednesday, August 3, 2011",7:00:00 PM,severe weather,NA,1290
2004,7,Illinois,IL,RFC,Central,0.5,warm,"Wednesday, July 21, 2004",5:30:00 PM,"Thursday, July 22, 2004",7:00:00 PM,severe weather,thunderstorm,1530
2006,3,Illinois,IL,RFC,Central,-0.4,normal,"Sunday, March 12, 2006",8:30:00 PM,"Tuesday, March 14, 2006",12:00:00 PM,severe weather,NA,2370
2007,12,Illinois,IL,RFC,Central,-1.3,cold,"Sunday, December 23, 2007",1:00:00 AM,"Sunday, December 23, 2007",9:00:00 PM,severe weather,storm,1200
2007,7,Illinois,IL,RFC,Central,-0.4,normal,"Wednesday, July 18, 2007",6:00:00 PM,"Thursday, July 19, 2007",2:00:00 PM,severe weather,NA,1200
2015,8,Illinois,IL,RFC,Central,1.4,warm,"Monday, August 3, 2015",12:30:00 AM,"Monday, August 3, 2015",2:00:00 AM,severe weather,NA,90
2003,11,Illinois,IL,RFC,Central,0.3,normal,"Wednesday, November 12, 2003",5:00:00 PM,"Wednesday, November 12, 2003",7:00:00 PM,severe weather,heavy wind,120
2000,8,Illinois,IL,SERC,Central,-0.5,cold,"Sunday, August 6, 2000",4:00:00 PM,"Monday, August 7, 2000",12:00:00 PM,severe weather,NA,1200
2014,1,Illinois,IL,RFC,Central,-0.5,cold,"Tuesday, January 7, 2014",10:59:00 AM,"Thursday, January 9, 2014",9:00:00 AM,fuel supply emergency, Natural Gas,2761
2008,6,Illinois,IL,RFC,Central,-0.5,cold,"Sunday, June 15, 2008",8:00:00 AM,"Sunday, June 15, 2008",8:00:00 PM,severe weather,NA,720
2012,8,Illinois,IL,RFC,Central,0.3,normal,"Saturday, August 4, 2012",5:30:00 PM,"Sunday, August 5, 2012",12:10:00 PM,severe weather,thunderstorm,1120
2010,10,Illinois,IL,RFC,Central,-1.5,cold,"Wednesday, October 27, 2010",5:00:00 PM,"Friday, October 29, 2010",4:00:00 AM,severe weather,heavy wind,2100
2003,7,Illinois,IL,SERC,Central,0.1,normal,"Saturday, July 5, 2003",3:00:00 AM,"Saturday, July 5, 2003",7:00:00 PM,severe weather,storm,960
2011,6,Illinois,IL,RFC,Central,-0.3,normal,"Thursday, June 9, 2011",4:30:00 AM,"Thursday, June 9, 2011",12:00:00 PM,severe weather,thunderstorm,450
2006,7,Illinois,IL,RFC,Central,0.1,normal,"Monday, July 17, 2006",9:00:00 PM,"Tuesday, July 18, 2006",9:00:00 PM,severe weather,thunderstorm,1440
2011,2,Illinois,IL,RFC,Central,-1,cold,"Tuesday, February 1, 2011",9:00:00 PM,"Wednesday, February 2, 2011",2:00:00 PM,severe weather,winter storm,1020
2011,7,Illinois,IL,RFC,Central,-0.3,normal,"Monday, July 11, 2011",9:00:00 AM,"Monday, July 11, 2011",9:00:00 AM,severe weather,NA,0
2008,6,Illinois,IL,RFC,Central,-0.5,cold,"Sunday, June 8, 2008",9:30:00 AM,"Monday, June 9, 2008",7:00:00 PM,severe weather,NA,2010
2011,7,Illinois,IL,SERC,Central,-0.3,normal,"Thursday, July 21, 2011",1:00:00 PM,"Thursday, July 21, 2011",3:00:00 PM,public appeal,NA,120
2009,5,Illinois,IL,SERC,Central,0.2,normal,"Friday, May 8, 2009",1:30:00 PM,"Thursday, May 14, 2009",11:20:00 PM,severe weather,thunderstorm,9230
2012,2,Washington,WA,WECC,Northwest,-0.5,cold,"Tuesday, February 14, 2012",7:20:00 PM,"Wednesday, February 15, 2012",4:00:00 PM,intentional attack,vandalism,1240
2011,12,Washington,WA,WECC,Northwest,-0.9,cold,"Thursday, December 8, 2011",8:45:00 AM,"Thursday, December 8, 2011",4:30:00 PM,intentional attack,vandalism,465
2012,2,Washington,WA,WECC,Northwest,-0.5,cold,"Saturday, February 11, 2012",8:55:00 AM,"Saturday, February 11, 2012",8:55:00 AM,intentional attack,vandalism,0
2010,12,Washington,WA,WECC,Northwest,-1.4,cold,"Saturday, December 18, 2010",5:00:00 AM,"Sunday, December 19, 2010",10:00:00 PM,severe weather,NA,2460
2014,1,Washington,WA,WECC,Northwest,-0.5,cold,"Thursday, January 23, 2014",9:17:00 PM,"Friday, January 24, 2014",5:00:00 PM,intentional attack,vandalism,1183
2015,8,Washington,WA,WECC,Northwest,1.4,warm,"Saturday, August 29, 2015",11:00:00 AM,"Friday, September 4, 2015",3:00:00 PM,severe weather,NA,8880
2011,8,Washington,WA,WECC,Northwest,-0.6,cold,"Tuesday, August 9, 2011",10:26:00 AM,"Tuesday, August 9, 2011",5:00:00 PM,intentional attack,vandalism,394
2012,4,Washington,WA,WECC,Northwest,-0.4,normal,"Monday, April 23, 2012",11:56:00 AM,"Monday, April 23, 2012",3:35:00 PM,intentional attack,vandalism,219
2012,4,Washington,WA,WECC,Northwest,-0.4,normal,"Thursday, April 19, 2012",7:53:00 AM,"Thursday, April 19, 2012",4:00:00 PM,intentional attack,vandalism,487
2015,5,Washington,WA,WECC,Northwest,0.8,warm,"Monday, May 18, 2015",3:28:00 PM,"Monday, May 18, 2015",3:47:00 PM,islanding,NA,19
2012,12,Washington,WA,WECC,Northwest,-0.2,normal,"Monday, December 3, 2012",12:02:00 PM,"Monday, December 3, 2012",12:30:00 PM,intentional attack,NA,28
2011,6,Washington,WA,WECC,Northwest,-0.3,normal,"Wednesday, June 8, 2011",12:58:00 PM,"Wednesday, June 8, 2011",12:58:00 PM,intentional attack,vandalism,0
2012,10,Washington,WA,WECC,Northwest,0.3,normal,"Monday, October 29, 2012",9:00:00 AM,"Monday, October 29, 2012",9:01:00 AM,intentional attack,NA,1
2004,1,Washington,WA,WECC,Northwest,0.3,normal,"Wednesday, January 7, 2004",12:00:00 AM,"Saturday, January 10, 2004",5:00:00 PM,severe weather,winter storm,5340
2006,11,Washington,WA,WECC,Northwest,0.9,warm,"Sunday, November 26, 2006",1:00:00 PM,"Saturday, December 2, 2006",6:00:00 PM,severe weather,winter storm,8940
2011,9,Washington,WA,WECC,Northwest,-0.8,cold,"Thursday, September 1, 2011",8:13:00 AM,"Thursday, September 1, 2011",4:00:00 PM,intentional attack,vandalism,467
2011,12,Washington,WA,WECC,Northwest,-0.9,cold,"Saturday, December 31, 2011",9:26:00 PM,"Saturday, December 31, 2011",9:26:00 PM,intentional attack,vandalism,0
2012,1,Washington,WA,WECC,Northwest,-0.7,cold,"Thursday, January 19, 2012",7:00:00 AM,"Friday, January 20, 2012",3:00:00 PM,severe weather,winter storm,1920
2012,3,Washington,WA,WECC,Northwest,-0.4,normal,"Monday, March 26, 2012",1:24:00 PM,"Monday, March 26, 2012",1:24:00 PM,intentional attack,vandalism,0
2015,7,Washington,WA,WECC,Northwest,1.2,warm,"Tuesday, July 21, 2015",12:47:00 PM,"Tuesday, July 21, 2015",1:12:00 PM,system operability disruption,NA,25
2015,12,Washington,WA,WECC,Northwest,2.3,warm,"Wednesday, December 9, 2015",4:00:00 AM,"Wednesday, December 9, 2015",11:00:00 AM,severe weather,NA,420
2007,1,Washington,WA,WECC,Northwest,0.7,warm,"Tuesday, January 16, 2007",2:00:00 AM,"Wednesday, January 17, 2007",12:00:00 PM,severe weather,heavy wind,2040
2012,3,Washington,WA,WECC,Northwest,-0.4,normal,"Wednesday, March 28, 2012",10:17:00 AM,"Wednesday, March 28, 2012",10:17:00 AM,intentional attack,vandalism,0
2016,7,Washington,WA,WECC,Northwest,-0.3,normal,"Wednesday, July 13, 2016",1:00:00 PM,"Wednesday, July 13, 2016",1:01:00 PM,intentional attack,vandalism,1
2011,9,Washington,WA,WECC,Northwest,-0.8,cold,"Saturday, September 24, 2011",4:17:00 PM,"Sunday, September 25, 2011",4:00:00 PM,intentional attack,vandalism,1423
2011,11,Washington,WA,WECC,Northwest,-1,cold,"Wednesday, November 30, 2011",10:00:00 AM,"Wednesday, November 30, 2011",11:00:00 AM,intentional attack,vandalism,60
2011,12,Washington,WA,WECC,Northwest,-0.9,cold,"Monday, December 5, 2011",2:00:00 PM,"Tuesday, December 6, 2011",5:00:00 PM,intentional attack,vandalism,1620
2013,11,Washington,WA,WECC,Northwest,-0.3,normal,"Saturday, November 2, 2013",12:00:00 AM,"Monday, November 4, 2013",6:00:00 AM,severe weather,heavy wind,3300
2011,8,Washington,WA,WECC,Northwest,-0.6,cold,"Monday, August 8, 2011",9:35:00 AM,"Monday, August 8, 2011",4:00:00 PM,intentional attack,vandalism,385
2015,3,Washington,WA,WECC,Northwest,0.6,warm,"Monday, March 9, 2015",11:50:00 PM,"Tuesday, March 10, 2015",10:53:00 AM,intentional attack,vandalism,663
2011,4,Washington,WA,WECC,Northwest,-0.5,cold,"Tuesday, April 19, 2011",2:01:00 PM,"Tuesday, April 19, 2011",4:04:00 PM,intentional attack,vandalism,123
2011,9,Washington,WA,WECC,Northwest,-0.8,cold,"Thursday, September 29, 2011",6:44:00 PM,"Friday, September 30, 2011",4:00:00 PM,intentional attack,vandalism,1276
2016,3,Washington,WA,WECC,Northwest,1.6,warm,"Thursday, March 10, 2016",4:00:00 AM,"Friday, March 11, 2016",11:59:00 AM,intentional attack,sabotage,1919
2016,3,Washington,WA,WECC,Northwest,1.6,warm,"Sunday, March 13, 2016",2:00:00 PM,NA,NA,intentional attack,sabotage,NA
2011,7,Washington,WA,WECC,Northwest,-0.3,normal,"Wednesday, July 20, 2011",9:10:00 AM,"Wednesday, July 20, 2011",4:30:00 PM,intentional attack,vandalism,440
2006,2,Washington,WA,WECC,Northwest,-0.6,cold,"Saturday, February 4, 2006",4:30:00 AM,"Wednesday, February 8, 2006",8:00:00 PM,severe weather,heavy wind,6690
2016,3,Washington,WA,WECC,Northwest,1.6,warm,"Tuesday, March 1, 2016",3:00:00 PM,NA,NA,severe weather,NA,NA
2011,7,Washington,WA,WECC,Northwest,-0.3,normal,"Thursday, July 28, 2011",7:25:00 PM,"Thursday, July 28, 2011",7:25:00 PM,intentional attack,vandalism,0
2015,8,Washington,WA,WECC,Northwest,1.4,warm,"Saturday, August 29, 2015",10:00:00 AM,NA,NA,severe weather,NA,NA
2012,2,Washington,WA,WECC,Northwest,-0.5,cold,"Wednesday, February 15, 2012",5:33:00 AM,"Wednesday, February 15, 2012",5:30:00 PM,intentional attack,vandalism,717
2009,4,Washington,WA,WECC,Northwest,-0.1,normal,"Thursday, April 23, 2009",4:25:00 PM,"Friday, April 24, 2009",12:29:00 PM,equipment failure,transmission trip,1204
2012,4,Washington,WA,WECC,Northwest,-0.4,normal,"Tuesday, April 3, 2012",3:33:00 PM,"Tuesday, April 3, 2012",8:25:00 PM,intentional attack,vandalism,292
2016,4,Washington,WA,WECC,Northwest,1.1,warm,"Tuesday, April 12, 2016",11:30:00 AM,"Tuesday, April 12, 2016",4:43:00 PM,intentional attack,NA,313
2013,7,Washington,WA,WECC,Northwest,-0.3,normal,"Friday, July 12, 2013",10:00:00 AM,"Friday, July 12, 2013",10:01:00 AM,intentional attack,vandalism,1
2012,12,Washington,WA,WECC,Northwest,-0.2,normal,"Monday, December 17, 2012",6:55:00 AM,"Monday, December 17, 2012",7:00:00 AM,intentional attack,NA,5
2007,10,Washington,WA,WECC,Northwest,-1.1,cold,"Thursday, October 18, 2007",3:00:00 PM,"Monday, October 22, 2007",11:36:00 PM,severe weather,heavy wind,6276
2011,2,Washington,WA,WECC,Northwest,-1,cold,"Thursday, February 10, 2011",1:00:00 PM,"Thursday, February 10, 2011",1:00:00 PM,intentional attack,vandalism,0
2013,1,Washington,WA,WECC,Northwest,-0.4,normal,"Monday, January 28, 2013",4:46:00 PM,"Monday, January 28, 2013",6:00:00 PM,intentional attack,NA,74
2012,1,Washington,WA,WECC,Northwest,-0.7,cold,"Friday, January 27, 2012",9:40:00 AM,"Friday, January 27, 2012",9:40:00 AM,intentional attack,vandalism,0
2015,11,Washington,WA,WECC,Northwest,2.2,warm,"Tuesday, November 17, 2015",9:00:00 AM,NA,NA,severe weather,NA,NA
2008,8,Washington,WA,WECC,Northwest,-0.3,normal,"Friday, August 15, 2008",12:52:00 PM,"Friday, August 15, 2008",5:00:00 PM,public appeal,NA,248
2011,7,Washington,WA,WECC,Northwest,-0.3,normal,"Wednesday, July 27, 2011",12:07:00 PM,"Wednesday, July 27, 2011",12:08:00 PM,intentional attack,vandalism,1
2010,11,Washington,WA,WECC,Northwest,-1.4,cold,"Monday, November 22, 2010",11:00:00 PM,"Wednesday, November 24, 2010",8:00:00 PM,severe weather,winter storm,2700
2012,2,Washington,WA,WECC,Northwest,-0.5,cold,"Friday, February 24, 2012",11:24:00 AM,"Friday, February 24, 2012",11:49:00 AM,intentional attack,vandalism,25
2011,2,Washington,WA,WECC,Northwest,-1,cold,"Wednesday, February 9, 2011",2:54:00 PM,"Wednesday, February 9, 2011",5:00:00 PM,intentional attack,vandalism,126
2013,8,Washington,WA,WECC,Northwest,-0.3,normal,"Monday, August 26, 2013",8:15:00 PM,"Monday, August 26, 2013",8:16:00 PM,intentional attack,vandalism,1
2012,8,Washington,WA,WECC,Northwest,0.3,normal,"Saturday, August 11, 2012",12:45:00 PM,"Saturday, August 11, 2012",5:00:00 PM,intentional attack,NA,255
2011,9,Washington,WA,WECC,Northwest,-0.8,cold,"Thursday, September 8, 2011",7:53:00 PM,"Friday, September 9, 2011",4:00:00 PM,intentional attack,vandalism,1207
2011,6,Washington,WA,WECC,Northwest,-0.3,normal,"Thursday, June 30, 2011",10:31:00 PM,"Thursday, June 30, 2011",10:31:00 PM,intentional attack,vandalism,0
2011,6,Washington,WA,WECC,Northwest,-0.3,normal,"Monday, June 27, 2011",6:55:00 PM,"Monday, June 27, 2011",6:55:00 PM,intentional attack,vandalism,0
2011,9,Washington,WA,WECC,Northwest,-0.8,cold,"Tuesday, September 20, 2011",12:55:00 PM,"Tuesday, September 20, 2011",5:00:00 PM,intentional attack,vandalism,245
2011,10,Washington,WA,WECC,Northwest,-0.9,cold,"Friday, October 7, 2011",8:04:00 AM,"Friday, October 7, 2011",4:00:00 PM,intentional attack,vandalism,476
2016,3,Washington,WA,WECC,Northwest,1.6,warm,"Sunday, March 13, 2016",4:55:00 PM,NA,NA,intentional attack,vandalism,NA
2015,11,Washington,WA,WECC,Northwest,2.2,warm,"Tuesday, November 17, 2015",10:00:00 AM,NA,NA,severe weather,NA,NA
2015,7,Washington,WA,WECC,Northwest,1.2,warm,"Friday, July 31, 2015",10:55:00 AM,NA,NA,islanding,NA,NA
2012,7,Washington,WA,WECC,Northwest,0.1,normal,"Friday, July 6, 2012",3:05:00 PM,"Friday, July 6, 2012",3:06:00 PM,intentional attack,vandalism,1
2006,12,Washington,WA,WECC,Northwest,0.9,warm,"Thursday, December 14, 2006",12:01:00 AM,"Friday, December 15, 2006",8:00:00 PM,severe weather,heavy wind,2639
2012,4,Washington,WA,WECC,Northwest,-0.4,normal,"Thursday, April 12, 2012",8:08:00 AM,"Thursday, April 12, 2012",4:30:00 PM,intentional attack,vandalism,502
2014,6,Washington,WA,WECC,Northwest,0,normal,"Wednesday, June 18, 2014",9:52:00 AM,"Wednesday, June 18, 2014",7:00:00 PM,intentional attack,vandalism,548
2011,8,Washington,WA,WECC,Northwest,-0.6,cold,"Thursday, August 18, 2011",9:51:00 AM,"Thursday, August 18, 2011",4:00:00 PM,intentional attack,vandalism,369
2003,12,Washington,WA,WECC,Northwest,0.3,normal,"Thursday, December 4, 2003",7:00:00 AM,"Monday, December 8, 2003",7:00:00 PM,severe weather,heavy wind,6480
2012,5,Washington,WA,WECC,Northwest,-0.3,normal,"Friday, May 11, 2012",11:05:00 AM,"Friday, May 11, 2012",11:20:00 AM,intentional attack,vandalism,15
2013,7,Washington,WA,WECC,Northwest,-0.3,normal,"Thursday, July 25, 2013",1:10:00 PM,"Thursday, July 25, 2013",1:15:00 PM,intentional attack,vandalism,5
2016,5,Washington,WA,WECC,Northwest,0.6,warm,"Sunday, May 8, 2016",9:12:00 AM,NA,NA,islanding,NA,NA
2011,12,Washington,WA,WECC,Northwest,-0.9,cold,"Tuesday, December 20, 2011",9:30:00 AM,"Tuesday, December 20, 2011",9:31:00 AM,intentional attack,vandalism,1
2012,1,Washington,WA,WECC,Northwest,-0.7,cold,"Tuesday, January 24, 2012",11:22:00 AM,"Tuesday, January 24, 2012",11:22:00 AM,intentional attack,vandalism,0
2011,12,Washington,WA,WECC,Northwest,-0.9,cold,"Monday, December 19, 2011",8:48:00 AM,"Monday, December 19, 2011",4:00:00 PM,intentional attack,vandalism,432
2015,6,Washington,WA,WECC,Northwest,1,warm,"Monday, June 29, 2015",7:21:00 PM,"Monday, June 29, 2015",7:42:00 PM,islanding,NA,21
2011,9,Washington,WA,WECC,Northwest,-0.8,cold,"Tuesday, September 13, 2011",11:43:00 AM,"Wednesday, September 14, 2011",4:00:00 PM,intentional attack,vandalism,1697
2011,6,Washington,WA,WECC,Northwest,-0.3,normal,"Wednesday, June 22, 2011",8:12:00 PM,"Wednesday, June 22, 2011",8:12:00 PM,intentional attack,vandalism,0
2012,4,Washington,WA,WECC,Northwest,-0.4,normal,"Saturday, April 21, 2012",8:55:00 PM,"Monday, April 23, 2012",4:30:00 PM,intentional attack,vandalism,2615
2006,12,Washington,WA,WECC,Northwest,0.9,warm,"Thursday, December 14, 2006",5:30:00 AM,"Wednesday, December 20, 2006",10:00:00 PM,severe weather,heavy wind,9630
2006,2,Washington,WA,WECC,Northwest,-0.6,cold,"Saturday, February 4, 2006",1:34:00 AM,"Monday, February 6, 2006",12:01:00 PM,severe weather,heavy wind,3507
2006,12,Washington,WA,WECC,Northwest,0.9,warm,"Thursday, December 14, 2006",5:00:00 PM,"Saturday, December 16, 2006",4:00:00 PM,severe weather,heavy wind,2820
2011,7,Washington,WA,WECC,Northwest,-0.3,normal,"Friday, July 29, 2011",11:46:00 AM,"Friday, July 29, 2011",5:00:00 PM,intentional attack,vandalism,314
2006,11,Washington,WA,WECC,Northwest,0.9,warm,"Wednesday, November 15, 2006",1:00:00 PM,"Sunday, November 19, 2006",2:35:00 PM,severe weather,heavy wind,5855
2011,6,Washington,WA,WECC,Northwest,-0.3,normal,"Monday, June 20, 2011",10:36:00 AM,"Monday, June 20, 2011",10:36:00 AM,intentional attack,vandalism,0
2012,1,Washington,WA,WECC,Northwest,-0.7,cold,"Sunday, January 29, 2012",12:45:00 PM,"Sunday, January 29, 2012",12:45:00 PM,intentional attack,vandalism,0
2014,3,Washington,WA,WECC,Northwest,-0.4,normal,"Monday, March 3, 2014",1:48:00 AM,"Monday, March 3, 2014",1:49:00 AM,fuel supply emergency, Hydro,1
2006,12,Washington,WA,WECC,Northwest,0.9,warm,"Wednesday, December 13, 2006",4:30:00 AM,"Thursday, December 28, 2006",11:59:00 PM,severe weather,heavy wind,22769
2012,5,Washington,WA,WECC,Northwest,-0.3,normal,"Tuesday, May 29, 2012",6:30:00 PM,"Tuesday, May 29, 2012",7:40:00 PM,intentional attack,vandalism,70
2004,4,Washington,WA,WECC,Northwest,0.1,normal,"Tuesday, April 27, 2004",12:35:00 PM,"Friday, April 30, 2004",12:00:00 PM,severe weather,heavy wind,4285
2011,8,Washington,WA,WECC,Northwest,-0.6,cold,"Monday, August 22, 2011",10:05:00 AM,"Monday, August 22, 2011",4:00:00 PM,intentional attack,vandalism,355
